Process Name,Factor,(%)Power usage,Approx. power usage in wh,Priority type
brave,1679183.2364161888,15.991105323488675,16.486829588516823,Low
RtkAudUService64,120115.50967741935,1.1438774069324185,1.1793376065473233,Medium
RuntimeBroker,589392.4000177502,5.6128692456834415,5.786868192299628,Medium
taskhostw,84591.0409495549,0.8055727426953694,0.8305454977189257,Medium
svchost,2924317.490076218,27.848699277711543,28.7120089553206,Medium
QASvc,15543.33199195171,0.14802140324586113,0.15261006674648284,Medium
HostAppServiceUpdater,15819.659367396594,0.1506529088901964,0.15532314906579248,Low
SystemSettings,2303.501194675162,0.021936575722045114,0.02261660956942851,Medium
conhost,102546.64238106055,0.9765665374229777,1.00684010008309,Low
xTendUtilityService,6448.232419223459,0.06140745186702151,0.06331108287489917,Medium
msedge,378138.10567121365,3.6010639836533875,3.712696967146642,Low
csrss,75491.84646970578,0.7189197949225451,0.741206308565144,High
QAAdminAgent,24840.899876390606,0.2365634897007416,0.24389695788146457,Medium
amdfendrsr,8454.15015015015,0.0805100971351832,0.08300591014637387,Medium
ctfmon,73027.6073619632,0.695452488758702,0.7170115159102217,High
nvsphelper64,61103.27770177839,0.5818953692182627,0.5999341256640288,Medium
DataExchangeHost,68787.19809069212,0.6550704567082183,0.675377640866173,Medium
WidgetService,84440.82873851295,0.8041422500394443,0.829070659790667,Medium
LockApp,46351.713377146494,0.441414084218738,0.4550979208295189,Medium
adb,76375.60507757404,0.7273359562279206,0.7498833708709861,Medium
PhoneExperienceHost,76233.63322966633,0.7259839377443941,0.7484894398144702,Medium
BraveCrashHandler,8822.260869565218,0.08401566886625576,0.0866201546011097,Medium
MsMpEng,94504.98236255127,0.899984643593377,0.9278841675447717,Medium
System,12889.777777777777,0.12275122188613881,0.1265565097646091,Medium
fontdrvhost,27181.445668966935,0.2588528464974526,0.2668772847388736,Medium
AMDRSServ,109678.24083769633,1.0444817831041384,1.0768607183803667,Medium
MoUsoCoreWorker,19381.92652971306,0.1845768953543448,0.19029877911032947,Medium
IDMan,111931.02935711632,1.0659354146699687,1.0989794125247376,Medium
NVDisplay.Container,64920.02193399808,0.6182427777003204,0.6374083038090304,Medium
MoNotificationUx,57769.085545722715,0.5501433740935201,0.5671978186904192,Medium
StartMenuExperienceHost,52143.62345712875,0.49657128332873207,0.5119649931119228,Medium
SecurityHealthService,52391.19711971197,0.498928963198226,0.514395761057371,Medium
xTendUtility,9622.548672566372,0.09163692559950422,0.09447767029308884,Medium
NisSrv,34479.95195195195,0.328357579598796,0.3385366645663587,Medium
UserOOBEBroker,47265.67164179104,0.45011784123241366,0.46407149431061845,Medium
DtsApo4Service,3981.7728168089297,0.03791899961060254,0.039094488598531214,Medium
dwm,42705.233337866535,0.4066881263223405,0.4192954582383331,High
smartscreen,44423.0,0.42304666720080936,0.43616111388403445,Medium
ApplicationFrameHost,48942.66083150985,0.46608805233122114,0.480536781953489,Medium
SecurityHealthSystray,55943.333333333336,0.5327564711696782,0.5492719217759381,Medium
Fetch,29041.127516778524,0.2765628662568236,0.28513631511078513,Medium
spoolsv,38994.25563909775,0.3713479478670209,0.38285973425089853,Medium
SearchHost,54460.0791398944,0.5186312265183497,0.5347087945404185,Medium
PSAgent,13838.900343642612,0.13178985363667792,0.13587533909941493,Low
SDXHelper,34217.39731285989,0.32585723371882375,0.33595880796410726,Medium
dllhost,99223.32350329295,0.9449180901032308,0.9742105508964308,Medium
WmiPrvSE,13634.772462077013,0.1298459142363878,0.13387113757771582,Medium
NitroSense,41862.24,0.3986601785912795,0.41101864412760913,Medium
