Priority,Id
8,4
8,176
11,656
13,708
13,1124
9,1256
9,1284
8,1408
8,1444
8,1544
8,1588
8,1672
8,1692
8,1728
8,1792
8,1856
8,1928
8,1632
8,1780
8,2256
8,2264
8,2300
8,2344
8,2352
8,2360
8,2400
8,2672
8,2752
8,2760
8,2908
8,2960
8,2968
8,3056
8,3104
8,3148
8,3176
8,3276
8,3284
8,3416
8,3500
8,3524
8,3688
8,3812
8,3876
8,4028
8,4136
8,4148
8,4156
8,4164
8,4184
8,4200
8,4220
8,4228
8,4236
8,4244
8,4256
8,4968
8,5016
8,5280
8,5588
8,5664
8,5692
8,6748
8,4520
8,7736
8,8128
8,2452
8,8860
8,9520
8,9900
8,10992
8,3640
8,12700
8,4400
8,12892
8,3780
8,6556
8,9792
8,11696
8,12200
8,2784
8,18812
8,13644
8,5860
8,16752
8,16956
8,8488
8,12076
8,19304
8,8132
8,5400
8,9324
8,19464
8,14088
8,17252
13,19420
13,12688
8,6944
13,10656
8,1612
8,9768
8,11480
8,18164
8,14596
8,11304
8,10948
8,11628
8,10692
8,11936
6,20176
8,10164
8,8576
8,18484
8,15852
8,17456
8,11132
8,3980
8,3472
8,19972
6,8668
13,9296
8,8812
8,17604
6,5140
8,11228
8,9116
8,15540
8,15608
8,11556
8,10564
8,9708
8,14980
8,9808
8,19652
8,7800
8,1804
8,16416
8,1756
8,20264
8,6896
10,10176
8,3708
8,18624
8,1120
4,6220
8,3824
4,3356
8,13816
8,12328
4,16164
4,14668
4,15040
4,5312
4,9564
8,13796
8,15764
6,12428
8,4852
6,6876
6,7572
6,9868
8,6612
8,15016
8,17844
8,11956
8,15400
4,8776
8,3032
8,17748
8,9076
8,13116
8,3212
8,9056
8,20420
8,19940
4,12368
8,12168
8,11804
8,16776
8,16504
4,14496
8,5812
8,2272
8,8252
8,15992
4,4600
4,20360
4,13772
8,5580
4,12708
4,9040
4,19800
4,7928
4,20436
8,9424
8,20116
8,4948
8,19164
8,18076
8,16660
8,864
8,6452
8,21420
8,20716
8,20520
8,20456
4,7232
4,22508
4,19080
4,11232
4,22412
8,16108
4,12656
8,21132
8,22084
8,11124
10,15912
8,21416
8,2948
4,16720
8,22436
8,21776
8,21340
8,21516
8,22012
4,20092
10,22320
8,17576
8,6584
8,12108
8,20648
8,5040
8,21092
8,22184
