NPM,PM,WS,Id,ProcessName,Priority
30960,276860928,256442368,12708,brave,4
12560,2793472,11722752,8576,RtkAudUService64,8
35488,25264128,50425856,3708,brave,8
10600,2289664,10989568,1804,RuntimeBroker,8
32424,6901760,18006016,10692,taskhostw,8
37480,15065088,21008384,3876,svchost,8
22712,16388096,19226624,1544,svchost,8
23072,27287552,62210048,12328,brave,8
16336,4325376,17444864,11304,svchost,8
11352,4071424,5574656,12700,QASvc,8
25792,94932992,144470016,9564,brave,4
16888,5050368,4730880,12428,HostAppServiceUpdater,6
75968,71999488,2183168,17844,SystemSettings,8
9728,1495040,8781824,6584,conhost,8
19848,6619136,26800128,11132,RuntimeBroker,8
14760,15085568,6590464,5016,xTendUtilityService,8
15976,20021248,16605184,2344,svchost,8
11280,2260992,8540160,11124,msedge,8
11008,2387968,7913472,6896,brave,8
31192,21000192,33865728,1408,svchost,8
8008,5459968,6606848,15016,conhost,8
17776,4857856,20639744,13116,RuntimeBroker,8
31584,6209536,7118848,19420,csrss,13
14496,9940992,17035264,1756,QAAdminAgent,8
9104,1712128,9195520,11956,svchost,8
11144,2543616,6262784,2300,svchost,8
12568,4091904,2752512,2352,amdfendrsr,8
10480,2052096,4837376,1928,svchost,8
12312,1691648,7491584,20420,svchost,8
96232,254369792,306040832,20264,brave,8
20624,7544832,28454912,11628,svchost,8
21000,8011776,27860992,9296,ctfmon,13
21712,20496384,46125056,13816,brave,8
13432,2605056,5562368,2968,svchost,8
16272,14761984,28430336,16720,msedge,4
13752,2994176,13303808,8812,nvsphelper64,8
27384,2658304,3813376,708,csrss,13
13592,3432448,17371136,22320,DataExchangeHost,10
18248,4902912,22687744,11228,WidgetService,8
34128,38641664,52482048,18076,LockApp,8
19888,7450624,11829248,2264,svchost,8
24976,37134336,22507520,18812,svchost,8
8152,1609728,3219456,4156,svchost,8
18848,2904064,11767808,4852,adb,8
106544,77705216,55599104,17604,PhoneExperienceHost,8
19440,8814592,22310912,13796,brave,8
7880,4444160,3248128,3688,svchost,8
13096,3125248,5812224,1728,svchost,8
11936,1789952,1323008,9424,BraveCrashHandler,8
19536,13881344,25882624,11232,brave,4
24976,36765696,66236416,3356,brave,4
9648,1929216,3985408,4184,svchost,8
125776,368553984,276922368,5860,MsMpEng,8
272,73728,3493888,4,System,8
10464,4902912,10883072,6944,fontdrvhost,8
11688,2519040,13320192,15608,RuntimeBroker,8
14952,4952064,16117760,7736,svchost,8
17496,4694016,29425664,19652,AMDRSServ,8
25128,74371072,57364480,3212,MoUsoCoreWorker,8
35200,11022336,35049472,16776,IDMan,8
18176,10256384,13402112,2256,NVDisplay.Container,8
13520,2777088,11866112,16504,MoNotificationUx,8
25824,5419008,13647872,8128,svchost,8
11824,3510272,7135232,1588,svchost,8
48304,74665984,80601088,15852,StartMenuExperienceHost,8
31336,9101312,15216640,3640,SecurityHealthService,8
23144,27344896,67653632,12656,brave,4
29272,32825344,50487296,15912,msedge,10
26544,44281856,93392896,14496,brave,4
10328,2527232,5140480,1692,svchost,8
9752,1851392,1826816,5664,xTendUtility,8
12040,2150400,3510272,4028,svchost,8
7328,5341184,2637824,8132,conhost,8
12872,4091904,10960896,19940,NisSrv,8
19320,4866048,6713344,1780,svchost,8
22664,27701248,64909312,6220,brave,4
8696,1437696,6144000,14088,svchost,8
10192,1921024,8908800,15400,UserOOBEBroker,8
20568,5406720,13066240,6748,svchost,8
13192,2547712,4579328,5588,svchost,8
12376,18714624,6021120,4228,DtsApo4Service,8
75048,391540736,222801920,10656,dwm,13
10056,2125824,10530816,5812,RuntimeBroker,8
11464,2850816,11046912,21132,smartscreen,8
16432,4988928,11661312,3148,svchost,8
23384,14974976,31342592,10564,ApplicationFrameHost,8
8832,3420160,9195520,22012,svchost,8
13072,3833856,5197824,3276,svchost,8
10328,1916928,10383360,11556,SecurityHealthSystray,8
25872,5685248,22650880,15764,svchost,8
14680,3321856,17346560,9708,svchost,8
4968,610304,3567616,17576,Fetch,8
27368,9805824,13971456,3812,spoolsv,8
127808,193155072,82305024,18484,SearchHost,8
11344,2383872,2908160,5140,PSAgent,6
21104,19709952,26701824,3824,brave,8
9368,1576960,3534848,3176,svchost,8
12368,4034560,10817536,2400,svchost,8
40984,301232128,293195776,8776,brave,4
24488,17072128,23855104,9056,SDXHelper,8
8424,1921024,7897088,11804,dllhost,8
9512,1757184,2969600,12076,svchost,8
14192,4505600,13402112,14980,RtkAudUService64,8
27480,83456000,130502656,20436,brave,4
27488,12406784,17801216,1856,svchost,8
18696,17551360,12800000,3104,WmiPrvSE,8
33224,86016000,108380160,19164,NitroSense,8
